parameter,base_value,dlbcl_final_value,dlbcl_min_value,dlbcl_max_value,n_distinct_values_including_base,n_dlbcl_variants_touching_parameter,distinct_values_including_base,dlbcl_variant_ids_touching_parameter,in_xlsx_sheet,has_cyno_bounds,preferred_xlsx_value,xlsx_lb,xlsx_ub
kBmat_kBapop_ratio,0.25,0.25,0.25,0.25,1,1,0.25,14,True,False,0.25,,
kBtumorprolif,0.025,0.025,0.025,0.025,1,1,0.025,28,True,False,0.025,,
kTgen,1.0,1.0,1.0,1.0,1,1,1,9,False,False,,,
tissue1on,1.0,1.0,1.0,1.0,1,1,1,5,False,False,,,
B19no20_B1920_ratio,0.25,0.25,0.25,0.25,1,0,0.25,,True,False,0.25,,
BAFFo,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
BW,3.4,3.4,3.4,3.4,1,0,3.4,,False,False,,,
Bcell_tumor_trafficking_on,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
Cl_blin,22300.0,22300.0,22300.0,22300.0,1,0,22300,,True,False,22300.0,,
Cl_rtx,8.0,8.0,8.0,8.0,1,0,8,,False,False,,,
Cld_rtx,23.0,23.0,23.0,23.0,1,0,23,,False,False,,,
KdrugB_blin,0.015,0.015,0.015,0.015,1,0,0.015,,True,False,0.15,,
KdrugactT_blin,0.1,0.1,0.1,0.1,1,0,0.1,,True,False,0.1,,
KmBT_act_blin,0.716,0.716,0.716,0.716,1,0,0.716,,True,False,0.716,,
KmTB_kill,0.75,0.75,0.75,0.75,1,0,0.75,,True,True,0.75,0.6,0.9
KmTB_kill_blin,0.75,0.75,0.75,0.75,1,0,0.75,,True,False,0.75,,
Km_rtx,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
Kmkill_rtx,25.0,25.0,25.0,25.0,1,0,25,,False,False,,,
Kp,0.14,0.14,0.14,0.14,1,0,0.14,,True,False,0.14,,
Kp2,0.07,0.07,0.07,0.07,1,0,0.07,,True,False,0.07,,
Kp3,0.07,0.07,0.07,0.07,1,0,0.07,,True,False,0.07,,
PKflag,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
VPid,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
Vc_rtx,28.0,28.0,28.0,28.0,1,0,28,,False,False,,,
VmB,0.95,0.95,0.95,0.95,1,0,0.95,,True,False,0.95,,
VmT,0.9,0.9,0.9,0.9,1,0,0.9,,True,False,0.9,,
Vm_rtx,0.0,0.0,0.0,0.0,1,0,0,,False,False,,,
Vp_rtx,9.0,9.0,9.0,9.0,1,0,9,,False,False,,,
Vz_blin,1610.0,1610.0,1610.0,1610.0,1,0,1610,,True,False,1610.0,,
act0on,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
depleteBpb,0.0,0.0,0.0,0.0,1,0,0,,False,False,,,
depleteTpb,0.0,0.0,0.0,0.0,1,0,0,,False,False,,,
end_time,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
fBAFFo,0.1,0.1,0.1,0.1,1,0,0.1,,False,False,,,
fBprolif,0.0,0.0,0.0,0.0,1,0,0,,False,False,,,
fvalidation,0.0,0.0,0.0,0.0,1,0,0,,False,False,,,
kBAFFprod,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
kBapop_cll,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
kBgen_cll,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
kIL6prod,1.0,1.0,1.0,1.0,1,0,1,,True,False,14.0,,
kTprolif,0.7,0.7,0.7,0.7,1,0,0.7,,True,False,0.7,,
ndrugactT_blin,1.0,1.0,1.0,1.0,1,0,1,,True,False,1.0,,
nkill_blin,1.027,1.027,1.027,1.027,1,0,1.027,,True,False,1.027,,
thBAFF,30.0,30.0,30.0,30.0,1,0,30,,False,False,,,
thalfIL6,20.0,20.0,20.0,20.0,1,0,20,,True,False,20.0,,
tinjhalf,1.0,1.0,1.0,1.0,1,0,1,,False,False,,,
