regimen,tox_matlab,tox_julia,tumor_matlab,tumor_julia,loss_matlab,loss_julia
fixed_0.05mg,101.075935010253,71.87497227950635,2.83613726497512,2.8293610480562874,2.42253031585162,2.3459697253122984
fixed_0.2mg,394.129306968175,284.15813881417216,2.75727787829822,2.7538897047879605,2.67700856052303,2.6044877381305236
fixed_0.4mg,649.195759743569,479.14585503187453,2.62088506202708,2.655161396467013,2.71696459747088,2.668267290268637
fixed_0.8mg,944.995975682342,714.6024891053704,2.28222184382307,2.471564980728078,2.62905556635838,2.663118411623925
fixed_1.2mg,1114.60767134295,858.2607203694363,1.88573790366502,2.306625899106452,2.46662469782172,2.6203754291625394
fixed_1.6mg,1231.87319617903,958.1996450713068,1.43691906377339,2.1506744456339018,2.26391873724389,2.5662917275122625
fixed_2.8mg,1431.47383334696,1139.5796825340176,2.1090085711268102e-09,1.7169895055734508,1.57804334983432,2.387057568340976
fixed_2mg,1316.45734379396,1032.9380315604976,0.93938587804101,2.0012946707424297,2.02956122035376,2.5078945905539456
step_0.4_1_2.8mg,649.195759743569,479.1458807383047,1.55625962697214e-12,1.9569568640757968,1.40652206645812,2.31916503569883
step_0.8_2_4.2mg,944.995975682342,714.6030552901228,3.18412123825781e-15,1.3286580799159615,1.48794464444684,2.0916651330247156
step_0.8_2_6mg,944.995975682342,714.6030552901228,1.5814562827183998e-17,1.035709975421044,1.48794464444684,1.9451910807772568
step_1_1_3mg,1039.84433054595,793.8955712620613,1.7495305558312399e-12,1.6422087620827523,1.50869289048127,2.271259419706968
step_1_2_13.5mg,1039.84433054595,793.8955712620613,-6.5321197885625004e-24,0.0444542898593277,1.5086928904804,1.4723821835952555
step_1_2_20mg,1039.84433054595,793.8955712620613,2.27133266922469e-21,2.140588940946415e-05,1.5086928904804,1.4501657416102964
step_1_2_27mg,1039.84433054595,793.8955712620613,-1.47465579773438e-25,2.1970771987043953e-05,1.5086928904804,1.4501660240515852
step_1_2_6mg,1039.84433054595,793.8955712620613,1.26540593276597e-18,0.9368561086154802,1.5086928904804,1.918583092973332
step_1_2_9mg,1039.84433054595,793.8955712620613,6.36058456944026e-18,0.5045033741852298,1.5086928904804,1.7024067257582067
