time,TDBc_ugperkg,TDBc_ugperml,Btumor,IL6combo
0.0,40.0,1.0875475802066341,8.06e10,0.0
5.847592533209189e-16,39.99999999999998,1.0875475802066334,8.06e10,5.708790280116242e-24
5.8481772924625104e-12,39.999999999811926,1.0875475802015204,8.060000000001178e10,5.709361206093976e-16
6.43241026245544e-11,39.99999999793141,1.0875475801503918,8.060000000012961e10,4.433889861878731e-14
5.469928463053928e-10,39.99999998240937,1.0875475797283678,8.060000000110219e10,2.723482099636742e-12
2.2854045326923787e-9,39.99999992650417,1.0875475782083786,8.060000000460509e10,4.4760153644997295e-11
6.171833701391163e-9,39.99999980152134,1.0875475748102594,8.060000001243625e10,3.20688128180737e-10
1.3553940607708216e-8,39.99999956412178,1.0875475683556763,8.060000002731119e10,1.5381118301651537e-9
2.6780962705983434e-8,39.99999913875687,1.087547556790562,8.060000005396364e10,5.9936138848482274e-9
4.9988118129688316e-8,39.99999839244305,1.087547536499267,8.060000010072606e10,2.0867522298320225e-8
9.043623632031363e-8,39.99999709168092,1.0875475011332494,8.0600000182229e10,6.82823521326291e-8
1.6099705102260932e-7,39.99999482253133,1.0875474394380458,8.060000032440901e10,2.1637811934346235e-7
2.852821411972932e-7,39.999990825675035,1.087547330768761,8.060000057484335e10,6.793666903362752e-7
5.08469489509491e-7,39.99998364824438,1.0875471356238275,8.060000102456548e10,2.158079668146565e-6
8.704629945301698e-7,39.99997200698155,1.087546819113147,8.060000175398126e10,6.324384722816366e-6
1.2324564995508485e-6,39.99996036572259,1.087546502602572,8.060000248339645e10,1.2677815234972452e-5
2.0062001405887028e-6,39.99993548310654,1.0875458260768498,8.060000404248415e10,3.359036014902656e-5
2.7799437816265568e-6,39.99991060050816,1.0875451495516084,8.060000560156902e10,6.44919194073535e-5
3.553687422664411e-6,39.99988571792745,1.0875444730268473,8.060000716065103e10,0.00010538020404348912
5.1217540240634046e-6,39.9998352910163,1.0875431019852175,8.060001032027328e10,0.00021886204922181562
8.519468456609967e-6,39.999726025342795,1.087540131194747,8.06000171665578e10,0.0006053541954096109
1.652024617201713e-5,39.99946873303352,1.0875331357540379,8.060003328764478e10,0.0022743969980194272
3.5256347071570196e-5,39.99886621716716,1.0875167541372257,8.060007103860275e10,0.010339155149344723
6.621514728782124e-5,39.99787066622372,1.0874896864117378,8.060013341349902e10,0.03635523321690576
9.717394750407229e-5,39.996875143569206,1.087462619455389,8.060019578369215e10,0.07805376601790434
0.00012813274772032333,39.99587964920283,1.0874355532681572,8.060025814850842e10,0.1352872992485608
0.0001960451834424367,39.99369599288722,1.0873761825146062,8.060039493525374e10,0.31454100273234836
0.00026395761916455003,39.991512472683176,1.0873168154617503,8.060053169626033e10,0.5663253660592883
0.0003318700548866634,39.98932908858218,1.0872574521093579,8.060066843151889e10,0.8891399588282969
0.0003997824906087768,39.98714584057573,1.0871980924571976,8.060080514027112e10,1.281512291958135
0.0005191972684203671,39.98330722603434,1.0870937255583017,8.06010454584122e10,2.13575214918662
0.0007451033174843095,39.976046576669184,1.0868963180171067,8.060149984667897e10,4.300779158246242
0.0009710093665482518,39.96878743263679,1.0866989514039365,8.060195392283841e10,7.1425018950147185
0.0011969154156121942,39.961529793623995,1.086501625710277,8.060240764758563e10,10.614085669067592
0.0014228214646761364,39.9542736593177,1.0863043409276154,8.060286102153253e10,14.671354860256477
