idx	variant_name	f1	f2	f3	f4
6	act optimizn 2b	parameter	kBprolif	Value	0.7
6	act optimizn 2b	parameter	fBprolif	Value	0
6	act optimizn 2b	parameter	act0on	Value	1
6	act optimizn 2b	parameter	finj	Value	0.44
7	combo tissues 2b	parameter	Vpb	Value	380
7	combo tissues 2b	parameter	Trpbo_perml	Value	2000000
7	combo tissues 2b	parameter	Trpbref_perml	Value	2000000
7	combo tissues 2b	parameter	Bpbo_perml	Value	1000000
7	combo tissues 2b	parameter	Bpbref_perml	Value	1000000
7	combo tissues 2b	parameter	tissue1on	Value	1
7	combo tissues 2b	parameter	Vtissue	Value	7
7	combo tissues 2b	parameter	KTrp	Value	500
7	combo tissues 2b	parameter	fTap	Value	2.6
7	combo tissues 2b	parameter	KBp	Value	900
7	combo tissues 2b	parameter	tissue2on	Value	1
7	combo tissues 2b	parameter	Vtissue2	Value	25
7	combo tissues 2b	parameter	KTrp2	Value	500
7	combo tissues 2b	parameter	KBp2	Value	600
8	initialTdepleted	parameter	depleteTpb	Value	1
9	Tgeneration	parameter	fTgenbl	Value	0
9	Tgeneration	parameter	kTgen	Value	1
10	Tgeneration 2b	parameter	fTgenbl	Value	1
10	Tgeneration 2b	parameter	kTgen	Value	1
11	act optimizn 2a_modified	parameter	fTaprolif	Value	10
11	act optimizn 2a_modified	parameter	kTaapop	Value	0.4
11	act optimizn 2a_modified	parameter	fTrapop	Value	24
11	act optimizn 2a_modified	parameter	fTa0apop	Value	2.4
11	act optimizn 2a_modified	parameter	fa0	Value	0.017
11	act optimizn 2a_modified	parameter	fAICD	Value	1
11	act optimizn 2a_modified	parameter	kTact	Value	7.6
11	act optimizn 2a_modified	parameter	fTadeact	Value	0.001
11	act optimizn 2a_modified	parameter	fTa0deact	Value	1
11	act optimizn 2a_modified	parameter	kBkill	Value	470
11	act optimizn 2a_modified	parameter	kTaexit	Value	1
11	act optimizn 2a_modified	parameter	fBexit	Value	0
11	act optimizn 2a_modified	parameter	kTgen	Value	1
11	act optimizn 2a_modified	parameter	KdrugactT	Value	100
11	act optimizn 2a_modified	parameter	KdrugB	Value	7.5
11	act optimizn 2a_modified	parameter	KmBT_act	Value	5.7
11	act optimizn 2a_modified	parameter	nkill	Value	1
11	act optimizn 2a_modified	parameter	Trpbo_perml	Value	2000000
11	act optimizn 2a_modified	parameter	Bpbo_perml	Value	1000000
11	act optimizn 2a_modified	parameter	kBapop	Value	0.03
11	act optimizn 2a_modified	parameter	kBprolif	Value	0.7
11	act optimizn 2a_modified	parameter	fBprolif	Value	0
11	act optimizn 2a_modified	parameter	act0on	Value	1
11	act optimizn 2a_modified	parameter	fdrug	Value	5.26
