idx	variant	content_index	action	class	name	value
6	act optimizn 2b	14	parameter	KdrugactT	Value	163
6	act optimizn 2b	15	parameter	KdrugB	Value	0.4
6	act optimizn 2b	16	parameter	KmBT_act	Value	0.025
6	act optimizn 2b	17	parameter	nkill	Value	1.44
6	act optimizn 2b	18	parameter	Trpbo_perml	Value	2000000
6	act optimizn 2b	19	parameter	Bpbo_perml	Value	1000000
6	act optimizn 2b	20	parameter	kBapop	Value	0.015
6	act optimizn 2b	21	parameter	kBprolif	Value	0.7
6	act optimizn 2b	22	parameter	fBprolif	Value	0
6	act optimizn 2b	23	parameter	act0on	Value	1
6	act optimizn 2b	24	parameter	finj	Value	0.44
7	combo tissues 2b	1	parameter	Vpb	Value	380
7	combo tissues 2b	2	parameter	Trpbo_perml	Value	2000000
7	combo tissues 2b	3	parameter	Trpbref_perml	Value	2000000
7	combo tissues 2b	4	parameter	Bpbo_perml	Value	1000000
7	combo tissues 2b	5	parameter	Bpbref_perml	Value	1000000
7	combo tissues 2b	6	parameter	tissue1on	Value	1
7	combo tissues 2b	7	parameter	Vtissue	Value	7
7	combo tissues 2b	8	parameter	KTrp	Value	500
7	combo tissues 2b	9	parameter	fTap	Value	2.6
7	combo tissues 2b	10	parameter	KBp	Value	900
7	combo tissues 2b	11	parameter	tissue2on	Value	1
7	combo tissues 2b	12	parameter	Vtissue2	Value	25
7	combo tissues 2b	13	parameter	KTrp2	Value	500
7	combo tissues 2b	14	parameter	KBp2	Value	600
8	initialTdepleted	1	parameter	depleteTpb	Value	1
9	Tgeneration	1	parameter	fTgenbl	Value	0
9	Tgeneration	2	parameter	kTgen	Value	1
10	Tgeneration 2b	1	parameter	fTgenbl	Value	1
10	Tgeneration 2b	2	parameter	kTgen	Value	1
11	act optimizn 2a_modified	1	parameter	fTaprolif	Value	10
11	act optimizn 2a_modified	2	parameter	kTaapop	Value	0.4
11	act optimizn 2a_modified	3	parameter	fTrapop	Value	24
11	act optimizn 2a_modified	4	parameter	fTa0apop	Value	2.4
11	act optimizn 2a_modified	5	parameter	fa0	Value	0.017
11	act optimizn 2a_modified	6	parameter	fAICD	Value	1
11	act optimizn 2a_modified	7	parameter	kTact	Value	7.6
11	act optimizn 2a_modified	8	parameter	fTadeact	Value	0.001
11	act optimizn 2a_modified	9	parameter	fTa0deact	Value	1
11	act optimizn 2a_modified	10	parameter	kBkill	Value	470
11	act optimizn 2a_modified	11	parameter	kTaexit	Value	1
11	act optimizn 2a_modified	12	parameter	fBexit	Value	0
11	act optimizn 2a_modified	13	parameter	kTgen	Value	1
11	act optimizn 2a_modified	14	parameter	KdrugactT	Value	100
11	act optimizn 2a_modified	15	parameter	KdrugB	Value	7.5
11	act optimizn 2a_modified	16	parameter	KmBT_act	Value	5.7
11	act optimizn 2a_modified	17	parameter	nkill	Value	1
11	act optimizn 2a_modified	18	parameter	Trpbo_perml	Value	2000000
11	act optimizn 2a_modified	19	parameter	Bpbo_perml	Value	1000000
11	act optimizn 2a_modified	20	parameter	kBapop	Value	0.03
11	act optimizn 2a_modified	21	parameter	kBprolif	Value	0.7
11	act optimizn 2a_modified	22	parameter	fBprolif	Value	0
11	act optimizn 2a_modified	23	parameter	act0on	Value	1
11	act optimizn 2a_modified	24	parameter	fdrug	Value	5.26
12	initialBdepleted	1	parameter	depleteBpb	Value	1
13	finj optimization	1	parameter	kTrexit	Value	0.03
13	finj optimization	2	parameter	finj	Value	1.2
14	tissue3	1	parameter	KTrp3	Value	50
14	tissue3	2	parameter	KBp3	Value	60
14	tissue3	3	parameter	tissue3on	Value	1
14	tissue3	4	parameter	Vtissue3	Value	50
14	tissue3	5	parameter	kBtiss3exit	Value	0.041
14	tissue3	6	parameter	fBtissue3_v1	Value	1
14	tissue3	7	parameter	kBmat_kBapop_ratio	Value	0.25
