weight_tumor,start_idx,eval,scalar_loss,tumor_loss,il6_loss,n_failed,doses_mg
0.05,1,1,0.0,0.0,0.0,0,"1.6,10.0,10.0,20.0,20.0,20.0"
0.05,1,2,0.007508876497948073,-0.07983937369729821,0.007900382214241483,0,"2.203701,10.0,10.0,20.0,20.0,20.0"
0.05,1,3,0.016233136177404107,-0.013695698912695356,0.017071161430516582,0,"1.6,15.024932,10.0,20.0,20.0,20.0"
0.05,1,4,0.012382137638036644,-0.005072652554827423,0.01302107499938418,0,"1.6,10.0,15.024932,20.0,20.0,20.0"
0.05,1,5,0.021733095424486162,-0.004242027064179408,0.022854311505167854,0,"1.6,10.0,10.0,30.025,20.0,20.0"
0.05,1,6,0.018779126047170618,-0.0011846293855248373,0.019747815635564325,0,"1.6,10.0,10.0,20.0,30.025,20.0"
0.05,1,7,0.01255849151632702,-0.0003339228118839423,0.01320627605286042,0,"1.6,10.0,10.0,20.0,20.0,30.025"
0.05,1,8,-0.0005880692363757936,-0.033444849014336725,-0.0006166433502550889,0,"1.793809,11.674956,11.674956,9.975047,23.341667,23.341667"
0.05,1,9,0.05925671300267322,-0.03627894175678864,0.06231508170751465,0,"1.826904,11.954119,11.954119,6.634648,23.898611,23.898611"
0.05,1,10,0.006899908072735847,-0.04718784729384918,0.007258286413692139,0,"1.860211,12.233283,12.233283,16.658333,11.088904,24.455556"
0.05,1,11,-0.0017205192949016981,-0.03427408988064634,-0.005369575131945942,0,"1.950019,6.279625,12.977721,15.544445,18.143519,25.940741"
0.05,1,12,0.004023540571760988,-0.02190107927470697,0.004232226327067379,0,"2.010653,4.827921,13.474014,14.801852,17.834105,26.930864"
0.05,1,13,-0.003338692575601721,-0.06657647216068313,-0.006884362062663463,0,"2.071861,10.062034,13.970308,14.05926,17.524691,14.554321"
0.05,1,14,-0.003768053156474188,-0.07502690492139635,-0.013638489640316387,0,"2.154314,10.072373,14.632033,13.069138,17.11214,11.975881"
0.05,1,15,-4.916800517374253e-5,-0.07698744087253778,-4.765616817931084e-5,0,"2.265643,10.086158,8.814512,11.748979,16.562071,21.904612"
0.05,1,16,0.2627566314933595,-0.008854320031804114,0.2763100838207698,0,"1.674494,10.114878,13.444145,8.998752,15.416095,22.539483"
0.05,1,17,0.0020859416578573853,-0.07018115776281962,0.002197224581466456,0,"2.11235,10.019146,10.574012,18.166438,19.236016,20.423247"
0.05,1,18,-0.002491614804204937,-0.049642537696517774,-0.00737451841497061,0,"2.091894,7.144245,10.657746,12.842999,27.042915,16.739825"
0.05,1,19,0.06645969335135256,-0.023771067095319842,0.0698889341234632,0,"1.834039,8.399308,12.344931,9.560482,21.498088,19.544326"
0.05,1,20,-0.001531437216795215,-0.06361185118681292,-0.001607084099306877,0,"2.065116,9.749157,10.869162,16.7321,19.613028,20.27676"
0.05,1,21,0.0764945896290559,-0.09540220800695069,0.08044519663437222,0,"2.536386,8.334851,13.20869,6.638859,20.605113,20.059827"
0.05,1,22,-0.0011517568772856732,-0.022936418813624272,-0.003988542803977167,0,"1.746099,9.722457,10.53477,17.772925,20.100852,20.009971"
0.05,1,23,0.0060241458739172,-0.010544065753986146,0.006335425708191702,0,"1.678376,8.127505,14.96774,16.896563,25.222635,17.523667"
0.05,1,24,-0.00345667838068194,-0.0688099944001506,-0.01340859047831748,0,"2.164044,9.75969,9.839979,12.606906,18.005499,21.174455"
0.05,1,25,0.017000330859942705,-0.06704507449179256,0.017880733070789523,0,"2.26854,5.902677,11.495492,19.547835,16.664318,15.364209"
0.05,1,26,-0.002102001895392631,-0.04195049500247844,-0.002504863703773813,0,"1.870437,10.712468,11.645045,11.570482,22.228775,22.01209"
0.05,1,27,0.002432808960234463,-0.0838564158108043,0.002562702330327571,0,"2.365065,8.182786,13.005785,9.682488,20.61444,19.363278"
0.05,1,28,-0.00180555716141812,-0.03596725560163283,-0.00568001953304921,0,"1.845055,9.465826,10.946601,16.424508,20.18645,19.902189"
0.05,1,29,-0.0020765030094936827,-0.041251174731666895,-0.012507067551320333,0,"1.957952,8.061671,12.6972,10.620744,21.293405,18.971631"
