sample_idx,btumor_auc,il6combo_auc,peak_il6combo,final_btumor,best_spd_pct
1,7.537739904428639e11,622.128819699792,203.08647519862234,4.930686813713052e6,-99.98796507399544
2,3.4079713926089043e10,6109.1088031307245,1813.8425591314958,2.7762030803200748e7,-99.9308424013212
3,1.814831116005104e11,2232.6934662339677,91.28349890667096,1.3184330485574868e7,-99.96827476105487
4,8.865822924289059e11,2923.1430162455376,560.2338605987355,5.902470067211239e7,-99.9625637749488
5,2.016827968754364e9,5434.2076910638425,2037.0511665500585,1.2951206652432613e7,-99.29546313133584
6,4.1833106733112e10,869.7237671755643,276.2249770494463,9.599975340742944e6,-99.96856770979193
7,3.919808970772371e11,1438.6428873257044,701.4612367355537,4.334407540780433e6,-99.99002956547459
8,7.412971036924811e11,19323.201748036598,1993.1870539996269,5.895833103639712e7,-99.94310078180916
9,5.28937567210904e10,61294.61009085024,2742.346523187338,1.7737345103315946e8,-97.51352977838789
10,4.3110167825651215e11,1960.415364796448,530.1376989190669,9.046785444204642e7,-99.82001967101934
11,2.730803080183026e12,25322.636137373258,792.9755090901072,1.0812139037599e8,-99.87500094005232
12,6.912511559405061e9,126.20240046720028,6.259115362004216,6.424974718256473e6,-99.97524429182405
13,2.089964833245541e11,888.0360178933824,43.89707253794118,2.851363921096819e6,-99.99400078878973
14,4.828611179888553e9,212074.09196096953,76364.86966101368,151468.39127756192,-99.99759380309432
15,2.6936106567392203e11,668736.3803736788,13695.333072197329,2.0413456669376357e9,-84.19799795607858
16,8.96430384647438e10,1047.053741089299,422.27738984692326,3.0665462108265045e6,-99.99548968398798
17,1.8299522177932187e11,27940.137136174457,2864.730115242579,3.845805998597116e7,-99.644011967524
18,4.559108137699923e11,1190.655203808659,378.51806920084573,5.325008755242387e6,-99.9988645678938
19,1.8641155129828116e11,273.96954946546896,6.241152307575047,2.7520021442880468e6,-99.9341406535301
20,2.510628677146134e11,519.1508494757393,204.52292199084903,192981.66599209956,-99.99925718207483
21,1.9721308733670315e12,9633.69557388701,515.978689281252,2.751031528404999e6,-99.9949216918667
22,3.7863407978910315e11,171.86465421641583,37.917952086140346,8.599353055072398e7,-99.9213815965179
23,3.929888831024919e10,48229.515781328744,5107.282502695569,5.4525990995415255e7,-98.7194119883855
24,1.1825274788580664e8,430.43738586422154,398.3331192727359,124426.21522574677,-99.9726351783514
25,4.922085239057643e10,1671.4709569866245,671.7343808784002,3.682379100418461e6,-99.96835373321878
26,5.132651151133673e12,3482.858499976958,88.37916921346562,1.241815099202504e7,-99.98186502854381
27,2.1534183893479297e11,14493.953001861055,666.9304835905198,1.3111509432969664e6,-99.99441120362124
28,1.2523423741938386e12,774.644080077356,22.617433632433304,3.556721306750341e10,0.0
29,4.791404597341389e12,61432.876000008306,2739.7159148929027,1.2650269261611102e11,0.0
30,1.5088939113384203e10,29.264689898200253,6.729491128940584,2.8812142074737893e6,-99.99331381928994
31,6.833831544535513e9,3592.475589537177,210.9615544509152,1.1405137618731916e7,-99.89655564140621
32,2.0134770427106266e13,29225.993442960345,2827.6824148913997,5.728446817114216e11,0.0
33,5.688429067247063e10,737.1161046103794,25.587453906796288,7.272026321963234e6,-99.96162095401597
