regimen,patient_id,observable,max_abs,max_rel,mean_abs,mean_rel
fixed_0.05mg,1,IL6combo,0.12126754487042035,0.006645016660505459,0.0017194249731582471,0.0011050904375630819
fixed_0.05mg,1,Btumor,308758104.83251953,0.0005722006587304406,28097511.27807366,9.63192791569072e-05
fixed_0.2mg,1,IL6combo,1.9605395558181726,0.005033417285053848,0.007290256469599203,0.0006856594729335017
fixed_0.2mg,1,Btumor,141761983.8022461,0.0003948899291454158,14507001.223305264,4.642563227550942e-05
fixed_0.4mg,1,IL6combo,3.332074962064439,0.007179515468191986,0.014439666675938741,0.00064968746339533
fixed_0.4mg,1,Btumor,86025583.6184082,0.00016503807196823202,7778783.378265754,2.8505406426041705e-05
fixed_0.8mg,1,IL6combo,3.2994952694838275,0.009330214457139023,0.01735191103850201,0.0007217300632710894
fixed_0.8mg,1,Btumor,45183181.74334717,0.00016773477411638908,8659887.397124408,3.9146952524083196e-05
fixed_1.2mg,1,IL6combo,2.507513680903344,0.006280074222324644,0.019199757561178765,0.0006788427161663118
fixed_1.2mg,1,Btumor,111812305.48144531,0.00037778021340232124,23665208.713487033,0.00012079149920909286
fixed_1.6mg,1,IL6combo,3.2618882381339063,0.0061845879557464335,0.023025872923501722,0.0006472426222110043
fixed_1.6mg,1,Btumor,121041505.41638947,0.002073798851222755,28187675.127037063,0.00033575125686882804
fixed_2mg,1,IL6combo,3.774381367978094,0.01292021447923796,0.01916351592559518,0.0015526724291356445
fixed_2mg,1,Btumor,120770147.03180695,952.8046412256191,31547296.80750335,3.395059430214642
fixed_2.8mg,1,IL6combo,3.9533953873340124,0.009848319703910568,0.023567754063878735,0.0013553972313122165
fixed_2.8mg,1,Btumor,78740473.9691639,2757250.1615738426,12146833.081146494,26828.323475768033
step_0.4_1_2.8mg,1,IL6combo,3.3322820001891387,0.018052980160263507,0.015346213852250254,0.0015469205419459456
step_0.4_1_2.8mg,1,Btumor,57028149.39948273,1124410.5689365289,5439386.439710468,22695.070986276074
step_0.8_2_4.2mg,1,IL6combo,2.015670638338861,0.009230716501544303,0.015992459849061173,0.0011814527779194803
step_0.8_2_4.2mg,1,Btumor,59430217.13524628,2147234.5266151014,4722095.698084132,25921.813068343323
step_1_1_3mg,1,IL6combo,2.3958934829282725,0.008968152317195154,0.01910818917315269,0.0012111014834084637
step_1_1_3mg,1,Btumor,44238054.58442688,1126794.0390458547,4039935.0273754564,18210.02855306425
step_1_2_6mg,1,IL6combo,2.3958934829282725,0.018567591607361687,0.01944628621228534,0.0010480054072096166
step_1_2_6mg,1,Btumor,48684848.62680054,888556.1997333234,3460676.069777484,22284.490766795214
step_0.8_2_6mg,1,IL6combo,2.015670638338861,0.009230716501544303,0.016192322359459065,0.001083067090257421
step_0.8_2_6mg,1,Btumor,63184353.498909,3273548.757269952,4051063.4964874005,26566.111987028504
step_1_2_9mg,1,IL6combo,2.3958934829282725,0.0067850270616747425,0.019662108141805863,0.0010283458026607497
step_1_2_9mg,1,Btumor,57910070.15131378,1024133.2544651823,3807212.687191523,17244.209243625228
step_1_2_13.5mg,1,IL6combo,2.3958934829282725,0.0067850270616747425,0.019544119774367926,0.0009335766439393579
step_1_2_13.5mg,1,Btumor,63898377.7157135,652549.9968075624,3405844.539682691,14838.990133246072
step_1_2_20mg,1,IL6combo,2.3958934829282725,0.0067850270616747425,0.019483844676181163,0.0008907336428555599
step_1_2_20mg,1,Btumor,66055198.73410416,1652116.9332312474,2965381.313749199,38808.89157939898
step_1_2_27mg,1,IL6combo,2.3958934829282725,0.0067850270616747425,0.019463259613926167,0.0008205170976668052
step_1_2_27mg,1,Btumor,62475236.73925781,1040527.1367778287,2816721.0416615824,17733.89957194817
