regimen,endpoint,max_abs,mean_abs,max_rel,mean_rel
fixed_0.05mg,IL6combo,54.380976417501074,2.7344658253708594,87.20807342623078,5.2361973563436885
fixed_0.05mg,Btumor,2606997629.0062256,632184892.1389608,0.004116993216222494,0.0018473572736197824
fixed_0.2mg,IL6combo,162.07166431309872,4.745273458542029,29.676938028174657,4.1414860189595215
fixed_0.2mg,Btumor,2037195951.791748,404730802.20539117,0.0033218843778131278,0.0012094150166559825
fixed_0.4mg,IL6combo,241.5386077248108,6.26938220892483,14.903813072810546,3.7026771776822653
fixed_0.4mg,Btumor,8822945327.721313,2901078735.8523583,0.016115413113567224,0.01010011243677218
fixed_0.8mg,IL6combo,324.95047480549147,7.524312991455988,7.5499162774040975,1.3566708794115234
fixed_0.8mg,Btumor,73080242718.92993,19183422097.17779,0.1555324028616617,0.07171085972023969
fixed_1.2mg,IL6combo,370.11064839221933,8.221147216732259,5.364987149507302,0.6829214988369052
fixed_1.2mg,Btumor,195207473931.84686,47068315778.868065,0.6595474517958032,0.23143848767117456
fixed_1.6mg,IL6combo,393.76764483032616,8.988553943974143,4.283499472562714,0.7999504854868384
fixed_1.6mg,Btumor,380373659684.4099,86625759021.63835,6.516925378409211,1.0501958810487075
fixed_2.8mg,IL6combo,439.5981482317813,12.09301151488718,600.6627181255832,89.65502007272528
fixed_2.8mg,Btumor,275426963335.5764,100714564403.58319,2.754269633355764e+23,4.69430986787658e+22
fixed_2mg,IL6combo,418.7962314469348,10.299496451251965,201.33083479138287,32.11051433618206
fixed_2mg,Btumor,385406329861.68176,110065093003.99808,9.127804495007232e+20,2.2318237703273366e+19
step_0.4_1_2.8mg,IL6combo,241.53860060180926,10.042351307603479,755.7937816385923,116.37283645754836
step_0.4_1_2.8mg,Btumor,297357357141.5191,109714774414.27614,2.9735735714151912e+23,7.828937654235427e+22
step_0.8_2_4.2mg,IL6combo,324.95122066200656,12.220669595062446,611.997558565062,108.81496583049305
step_0.8_2_4.2mg,Btumor,107089841241.22626,52981332703.65028,1.016699114704831e+23,2.4195667506909474e+22
step_0.8_2_6mg,IL6combo,324.95122066200656,11.322218017544138,245.58942082253188,56.56830181810777
step_0.8_2_6mg,Btumor,101257147949.97783,31088105472.77681,7.459866729159498e+22,3.1694983367873926e+21
step_1_1_3mg,IL6combo,347.8848939567157,11.949356062375628,751.7005515036068,114.11934350070423
step_1_1_3mg,Btumor,197046688423.0097,89461091866.66745,1.970466884230097e+23,3.576550576461208e+22
step_1_2_13.5mg,IL6combo,347.8848939567157,11.559953427955405,99.15773513023798,21.05627013476082
step_1_2_13.5mg,Btumor,93085809648.59958,15333355720.214098,3.998371096740643e+21,2.923317063106103e+19
step_1_2_20mg,IL6combo,347.8848939567157,11.931614577809041,77.14584718535137,15.687881771461981
step_1_2_20mg,Btumor,91712747582.00775,12617400255.871437,3.4451212475901428e+19,4.018572647311865e+18
step_1_2_27mg,IL6combo,347.8848939567157,12.244754624353419,64.97383315992298,12.952094842403103
step_1_2_27mg,Btumor,90520577645.08855,11251908726.232298,3.4734450298365896e+20,4.641969091657562e+18
step_1_2_6mg,IL6combo,347.8848939567157,11.412528064594476,238.27355826060472,50.60850065922018
step_1_2_6mg,Btumor,98036032912.71648,28504280572.097607,7.157263373649202e+22,6.386832170189182e+21
step_1_2_9mg,IL6combo,347.8848939567157,11.375526786298463,142.63093501589591,29.23014918953198
step_1_2_9mg,Btumor,95090064383.68349,19907528520.944305,3.6216137224564196e+22,1.030517832169675e+21
