variant_idx	variant_name	entry_idx	action	class	name	value_numeric	value_text	is_numeric
2	combo tissues 1	10	parameter	KBp	Value	900	900	1
2	combo tissues 1	11	parameter	tissue2on	Value	1	1	1
2	combo tissues 1	12	parameter	Vtissue2	Value	25	25	1
2	combo tissues 1	13	parameter	KTrp2	Value	500	500	1
2	combo tissues 1	14	parameter	KBp2	Value	600	600	1
3	act optimizn 1	1	parameter	fTaprolif	Value	0.63	0.63	1
3	act optimizn 1	2	parameter	kTaapop	Value	0.05	0.05	1
3	act optimizn 1	3	parameter	fTrapop	Value	3.8	3.8	1
3	act optimizn 1	4	parameter	fTa0apop	Value	1.3	1.3	1
3	act optimizn 1	5	parameter	fa0	Value	0.26	0.26	1
3	act optimizn 1	6	parameter	fAICD	Value	1	1	1
3	act optimizn 1	7	parameter	kTact	Value	9.23	9.23	1
3	act optimizn 1	8	parameter	fTadeact	Value	0.1	0.1	1
3	act optimizn 1	9	parameter	fTa0deact	Value	0.02	0.02	1
3	act optimizn 1	10	parameter	kBkill	Value	915	915	1
3	act optimizn 1	11	parameter	kTaexit	Value	6577	6577	1
3	act optimizn 1	12	parameter	fBexit	Value	0	0	1
3	act optimizn 1	13	parameter	kTgen	Value	1	1	1
3	act optimizn 1	14	parameter	KdrugactT	Value	122	122	1
3	act optimizn 1	15	parameter	KdrugB	Value	0.3	0.3	1
3	act optimizn 1	16	parameter	KmBT_act	Value	0.43	0.43	1
3	act optimizn 1	17	parameter	nkill	Value	1	1	1
3	act optimizn 1	18	parameter	Trpbo_perml	Value	2000000	2.0E+6	1
3	act optimizn 1	19	parameter	Bpbo_perml	Value	1000000	1.0E+6	1
3	act optimizn 1	20	parameter	kBapop	Value	0.015	0.015	1
3	act optimizn 1	21	parameter	kBprolif	Value	0.7	0.7	1
3	act optimizn 1	22	parameter	fBprolif	Value	0	0	1
3	act optimizn 1	23	parameter	act0on	Value	1	1	1
3	act optimizn 1	24	parameter	finj	Value	0.66	0.66	1
4	act optimizn 2a	1	parameter	fTaprolif	Value	9.5	9.5	1
4	act optimizn 2a	2	parameter	kTaapop	Value	0.4	0.4	1
4	act optimizn 2a	3	parameter	fTrapop	Value	33	33	1
4	act optimizn 2a	4	parameter	fTa0apop	Value	3.2	3.2	1
4	act optimizn 2a	5	parameter	fa0	Value	0.54	0.54	1
4	act optimizn 2a	6	parameter	fAICD	Value	1	1	1
4	act optimizn 2a	7	parameter	kTact	Value	7.6	7.6	1
4	act optimizn 2a	8	parameter	fTadeact	Value	0.001	0.001	1
4	act optimizn 2a	9	parameter	fTa0deact	Value	1	1	1
4	act optimizn 2a	10	parameter	kBkill	Value	470	470	1
4	act optimizn 2a	11	parameter	kTaexit	Value	1	1	1
4	act optimizn 2a	12	parameter	fBexit	Value	0	0	1
4	act optimizn 2a	13	parameter	kTgen	Value	1	1	1
4	act optimizn 2a	14	parameter	KdrugactT	Value	40	40	1
4	act optimizn 2a	15	parameter	KdrugB	Value	7.5	7.5	1
4	act optimizn 2a	16	parameter	KmBT_act	Value	5.7	5.7	1
4	act optimizn 2a	17	parameter	nkill	Value	1	1	1
4	act optimizn 2a	18	parameter	Trpbo_perml	Value	2000000	2.0E+6	1
4	act optimizn 2a	19	parameter	Bpbo_perml	Value	1000000	1.0E+6	1
4	act optimizn 2a	20	parameter	kBapop	Value	0.015	0.015	1
4	act optimizn 2a	21	parameter	kBprolif	Value	0.7	0.7	1
4	act optimizn 2a	22	parameter	fBprolif	Value	0	0	1
4	act optimizn 2a	23	parameter	act0on	Value	1	1	1
4	act optimizn 2a	24	parameter	finj	Value	0.2	0.2	1
5	combo tissues 2a	1	parameter	Vpb	Value	380	380	1
5	combo tissues 2a	2	parameter	Trpbo_perml	Value	2000000	2.0E+6	1
5	combo tissues 2a	3	parameter	Trpbref_perml	Value	2000000	2.0E+6	1
