time,Bpb_perml,totTpb_perml,Tafraction_pb
0,8300,342470,0
0.0416,7534.32396730444,44936.5624400335,0.00404372846739961
0.083,5965.95871171994,45874.5388528261,0.00437105989017999
0.1,5309.31473989826,46372.8729934138,0.00437715497148575
0.2,1811.74321406466,49393.7274166047,0.00452183401811163
0.25,506.089215998314,50956.3299295541,0.00488527628626109
0.3,175.550294781241,52549.439680278,0.00556109539035815
0.4,144.510877159857,55846.8462061533,0.00689050467414577
0.5,129.32535159763,59303.1786869586,0.00797237206834113
0.6,118.404650589078,62922.4084865016,0.00883165255577642
0.7,109.545710262863,66708.0428612769,0.00949638121457457
0.8,101.890244380313,70662.5458831019,0.00999249522173725
0.9,95.0009854647579,74787.6952582061,0.0103432366566325
1,88.6897282689675,79085.9095038165,0.0105691286152234
1.1,82.8148263265738,83557.0228286288,0.0106885306909969
1.2,77.284393149021,88200.0593644882,0.0107177342178869
1.3,72.0606618338266,93013.6713008455,0.0106710798816546
1.4,67.1139438914906,97995.8597296063,0.0105611797412996
1.5,62.4253946311704,103142.135300909,0.010399237939969
1.6,57.9890695587318,108445.764676624,0.0101952779683837
1.7,53.7937682099184,113901.82964744,0.00995781638896189
1.8,49.8244772214694,119505.972046158,0.00969410025055324
1.9,46.0702075444315,125252.574971018,0.00941043153755408
2,42.5272572863883,131133.211121076,0.00911244078297128
2.1,39.1989656032656,137135.48197697,0.00880525901928804
2.2,36.077827064603,143252.436863387,0.0084925346611239
2.3,33.1628658821479,149469.456433213,0.00817803975432997
2.4,30.4526432186738,155772.814002022,0.00786475771941532
2.5,27.9409931835711,162148.838236474,0.00755502378104683
2.6,25.6110486716647,168568.212826634,0.0072516868045481
2.7,23.4596080060457,175018.361475334,0.00695602058015532
2.8,21.4869764783371,181504.404490485,0.00666863061952336
2.9,19.6886967075499,188017.310320703,0.00639043975526094
3,18.0568971903175,194541.124630485,0.00612241247165746
3.1,16.5787218078528,201052.298493368,0.00586558903995168
3.2,15.2468801528967,207534.224252393,0.00562052085027707
3.3,14.0523481469766,213965.504154377,0.00538773779974903
3.4,12.9857771364103,220336.240083476,0.0051672776037788
3.5,12.0377737695738,226635.784348097,0.00495911463802478
3.6,11.1987735211986,232849.989151555,0.00476297682162175
3.7,10.4593633015161,238965.587201117,0.00457842521782763
3.8,9.81029301431776,244972.177884201,0.00440484416317325
3.9,9.24267291079314,250858.745853915,0.00424160620961156
4,8.74812092235324,256615.83987002,0.00408808077896928
4.1,8.31878713128597,262235.209755257,0.00394366272600376
4.2,7.94739218599613,267709.362721208,0.00380777617939996
4.3,7.62728020526257,273031.930661,0.00367986685287829
4.4,7.35241698148791,278197.554910754,0.00355940340537727
4.5,7.11739905923406,283201.7513473,0.00344587923347816
4.6,6.91733135176271,288041.075814011,0.00333881549918177
4.7,6.74788110136287,292713.257575073,0.00323775879706563
4.8,6.60533128729221,297216.84860343,0.00314228411396729
4.9,6.48641004703258,301550.946497769,0.00305199959318693
5,6.38825452496436,305715.524216671,0.00296654091023035
5.1,6.30839660670288,309711.419134319,0.0028855691961444
5.2,6.24468812741334,313540.047072273,0.00280877183566444
5.3,6.19528172618763,317203.438007491,0.00273585973655357
5.4,6.15859395749092,320704.177949171,0.0026665656508177
5.5,6.13326402583376,324045.307212551,0.00260064291873173
5.6,6.11817777610341,327230.26076537,0.00253786374384183
5.7,6.11224618078376,330262.469948775,0.00247802089386198
5.8,6.11468459787544,333146.409277404,0.00242091695237427
5.9,6.12458961761537,335886.130146165,0.00236637518337199
6,6.14142996280597,338486.637548303,0.00231422632765777
6.1,6.16457219365561,340952.456977024,0.00226431891996913
6.2,6.19356075096258,343288.402115241,0.00221651156359813
6.3,6.22800288467846,345498.755923589,0.00217067740350286
6.4,6.2675247337682,347587.897784385,0.00212669886044232
6.5,6.31197834156248,349559.827562339,0.00208446901528155
6.6,6.36084098622542,351419.173349564,0.00204388623478473
6.7,6.41373185089551,353170.324998853,0.00200485738790398
6.8,6.47059283234784,354819.230637556,0.00196728646348164
6.9,6.53131346874879,356371.585571082,0.00193108587594045
7,6.59544996222763,357831.475538321,0.00189618367949043
7.1,6.66272239915014,359203.777619485,0.00186250817934101
7.2,6.73335760153852,360491.558825031,0.00183000021997858
7.3,6.80703203122411,361699.852062868,0.00179859603953935
7.4,6.88351107136953,362833.372612155,0.00176823727922288
7.5,6.96265835651704,363896.278598187,0.00173887162639996
7.6,7.04457843888818,364890.916729346,0.00171045780505733
7.7,7.12900025927668,365822.457869114,0.00168294475138086
7.8,7.21578905731084,366695.048074431,0.00165628873786569
7.9,7.30487459176908,367510.442144343,0.00163045897486791
8,7.39619406389813,368270.119039467,0.00160542741084436
8.1,7.48959476916948,368978.889876752,0.00158115329150157
8.2,7.58496475117085,369640.055535422,0.00155760436757532
8.3,7.68223538497477,370254.85322554,0.00153475852376923
8.4,7.78129585069573,370826.529699052,0.00151258650685987
8.5,7.882036521423,371358.274892285,0.00149106073385347
8.6,7.98435711196867,371852.600130351,0.00147015761167489
8.7,8.08818102442134,372309.149171142,0.00144986569443192
8.8,8.19339720033103,372731.73754429,0.00143015802282419
8.9,8.29990682448291,373122.698620868,0.00141101445668941
9,8.40761875828093,373483.411893778,0.00139241919664139
9.1,8.51644837705303,373814.447761149,0.00137435996291268
9.2,8.62629837875716,374117.951952694,0.00135681929941383
9.3,8.73707803795177,374395.25300964,0.00133978330607667
9.4,8.84869853465171,374649.302088275,0.0013232327335366
9.5,8.9610717007688,374881.999650159,0.00130715280617881
9.6,9.07411029971736,375094.791742041,0.00129153085211476
9.7,9.18772839759277,375289.437442091,0.00127635351104882
9.8,9.30184078397147,375465.937550492,0.00126161364917818
9.9,9.41636384635754,375626.194015141,0.00124729806145011
10,9.53121493432322,375771.348956603,0.00123339639910086
10.1,9.64631277439314,375901.934772423,0.00121990054390748
10.2,9.76157776029472,376017.29254535,0.00120680633495635
10.3,9.87693062562603,376118.231696458,0.00119410497216091
10.4,9.99229358350125,376204.746410891,0.00118179038676353
10.5,10.1075921952143,376278.501086966,0.0011698513756646
10.6,10.2227529895485,376340.784892971,0.00115827816548735
10.7,10.3377022559956,376391.474924537,0.00114706550069422
10.8,10.4523684665109,376431.116929563,0.00113620613153161
10.9,10.5666858448513,376462.800457858,0.00112568528778784
11,10.680585989477,376487.242778175,0.00111549561517952
11.1,10.7940029724722,376505.781169309,0.00110562802655499
11.2,10.9068772726245,376518.976555827,0.00109607589913819
11.3,11.0191692697733,376523.292108142,0.00108684473274924
11.4,11.1308113163061,376522.156022266,0.00107791936651766
11.5,11.2417498547101,376516.240014659,0.0010692929588114
11.6,11.3519335484001,376506.198945329,0.00106095878005605
11.7,11.4613146171991,376492.368258422,0.00105291110948619
11.8,11.5698698725946,376469.998346638,0.00104515934790062
11.9,11.6775472937248,376441.358011247,0.00103769181222388
12,11.7843093869052,376405.911158656,0.00103050522553847
12.1,11.8901214139975,376362.9837185,0.00102359667659172
12.2,11.9949513924093,376311.763643641,0.00101696361124475
12.3,12.0987775569965,376261.154845098,0.00101057818739275
12.4,12.2015718314044,376207.950005448,0.00100444449363582
12.5,12.3033117062722,376152.516533478,0.000998557243191294
12.6,12.4039779659342,376095.794522551,0.000992909729157576
12.7,12.5035543223367,376038.813313602,0.000987495090818963
12.8,12.6019834279698,375978.321831083,0.000982317534944001
