time,Bpb_perml,totTpb_perml,Tafraction_pb,BTtotRatio_tiss,BTtotRatio_tiss2,IL6combo
0,606335.75,1070529.1,0,1.01949993699377,0.679666624662515,0
0.0035,603830.932964755,365418.819990272,0.00923095840531248,0.985950506975294,0.673224859567041,5.02494841683314
0.0208,590149.917721815,135524.877527093,0.0211254802307442,0.975293532960255,0.670765218567248,22.1241373768154
0.08333,505615.596294528,142691.061643315,0.0471733636495924,0.972322976622574,0.667727261799006,61.0575349982345
0.1,473767.326269932,144602.150575937,0.0527807192946776,0.970936222370222,0.66653305417921,67.0367678732744
0.2,225192.803576206,156137.264509698,0.0799208259221761,0.958021775307777,0.656285432142631,69.292394237708
0.3,8521.97256780314,168194.258461665,0.0932077566989786,0.938264487232863,0.641254430281508,25.6131050997943
0.4,6474.14836222383,180154.855931754,0.106281484857537,0.913172900535298,0.622302492566228,22.9509346196909
0.5,5862.8583379711,192586.508628497,0.1154242173045,0.883847606075222,0.600151166988538,24.6786821459355
0.6,5362.21251541773,205572.15656875,0.121396300072491,0.851189990721626,0.575448414673272,25.4831171559728
0.7,4921.45746859128,219179.919273364,0.124832155328818,0.816049413918302,0.548827293109261,25.5155579410129
0.8,4518.05501061307,233461.683620522,0.126217743135971,0.779093125445091,0.520793392110589,24.9295290760946
0.9,4140.23541704544,248471.21137621,0.125959615263356,0.740977354250516,0.491854289963802,23.8830626482614
1,3782.73516142608,264254.023908716,0.124392544280419,0.702246311326826,0.462435312280861,22.5227680068475
1.1,3438.69260464335,280855.239062963,0.121963630151138,0.663265791638431,0.432775333386519,21.641464400296
1.2,3108.45513135738,298314.764109464,0.119016902361842,0.624224213126149,0.402977725723223,20.7565087080976
1.3,2790.37472214194,316653.167077522,0.115627146896205,0.585355178824864,0.373247206162874,19.7091544730246
1.4,2485.24615138115,335889.947135279,0.111878258650294,0.546877116829434,0.343771094869695,18.5244136475931
1.5,2193.47889955406,356040.945130722,0.107848508717494,0.508965987421081,0.314699814884436,17.2312157252335
1.6,1913.65032421828,377120.392725457,0.10360875183324,0.471785413236889,0.286174619402019,15.8622658896527
1.7,1647.114601285,399130.482170167,0.0992252173870145,0.435458187025683,0.258302641346705,14.4428428302162
1.8,1394.7813799163,422068.605583041,0.0947566068973821,0.400107843183286,0.231194485140167,13.0009782770395
1.9,1156.42879325852,445913.775080118,0.0902576648733969,0.365834011916289,0.204942988603856,11.5611646899704
2,934.022441009446,470656.86461769,0.0857728245937876,0.332720508976472,0.179631432718809,10.1456560515635
2.1,729.360693541823,496281.566955808,0.0813413386454968,0.300832356429105,0.155333660494011,8.77473265634377
2.2,546.295524981567,522743.22926752,0.0770000562784125,0.270219726603722,0.132119570583431,7.4675512098501
2.3,390.347901512714,549999.068498853,0.072778432338073,0.24091996401928,0.110059609717436,6.24217155169834
2.4,270.308931581094,578012.00297938,0.0686999927184258,0.212957251659016,0.0892396658008755,5.11619451288347
2.5,195.41435532781,606715.634491741,0.0647862480637847,0.186348006971559,0.0697732192364855,4.10614611189943
2.6,162.562879978696,636044.316407571,0.0610531583537283,0.161101993484098,0.0518383691450703,3.21859489896259
2.7,152.255620408773,665928.211096769,0.0575125682595123,0.13722804994019,0.0357405015526127,2.44642033051846
