time,TDBc_ugperkg,TDBc_ugperml,Btumor,IL6combo
0,0,0,80600000000,0
0,40,1.08754758020663,80600000000,0
1.8551741001509e-15,39.9999999999999,1.08754758020663,80600000000,4.84807624913002e-23
3.7103482003018e-15,39.9999999999998,1.08754758020663,80600000000,1.53011014107547e-22
5.56552230045271e-15,39.9999999999998,1.08754758020663,80600000000,3.14772370399123e-22
2.41172633019617e-14,39.999999999999,1.08754758020661,80600000000,6.8698103205274e-21
4.26690043034708e-14,39.9999999999981,1.08754758020658,80600000000.0001,1.90437460485559e-20
6.12207453049798e-14,39.9999999999973,1.08754758020656,80600000000.0001,3.6942969915039e-20
2.4673815532007e-13,39.9999999999892,1.08754758020634,80600000000.0005,7.09681047022301e-19
4.3225556533516e-13,39.9999999999811,1.08754758020612,80600000000.0008,1.94430943264432e-18
6.1777297535025e-13,39.999999999973,1.0875475802059,80600000000.0012,3.75146671491864e-18
2.47294707550115e-12,39.9999999998917,1.08754758020369,80600000000.0049,7.11976234929473e-17
4.32812117565205e-12,39.9999999998105,1.08754758020148,80600000000.0087,1.94832811106359e-16
6.18329527580296e-12,39.9999999997292,1.08754758019927,80600000000.0124,3.75720888333578e-16
2.4735036277312e-11,39.9999999989167,1.08754758017718,80600000000.0498,7.12206003781981e-15
4.3286777278821e-11,39.9999999981043,1.08754758015509,80600000000.0872,1.94873022345566e-14
6.183851828033e-11,39.9999999972918,1.087547580133,80600000000.1246,3.75778333380992e-14
2.4735592829542e-10,39.999999989167,1.0875475799121,80600000000.4984,7.12228963775502e-13
4.3287333831051e-10,39.9999999810422,1.0875475796912,80600000000.8722,1.94877036264951e-12
6.18390748325601e-10,39.9999999729175,1.0875475794703,80600000001.246,3.75784059762891e-12
2.4735648484765e-09,39.9999998916697,1.08754757726128,80600000004.9842,7.12231065681983e-11
4.3287389486274e-09,39.999999810422,1.08754757505226,80600000008.7224,1.94877363093984e-10
6.18391304877831e-09,39.9999997291743,1.08754757284324,80600000012.4606,3.75784448655149e-10
2.47356540502873e-08,39.9999989166971,1.08754755075305,80600000049.8423,5.2373551403886e-09
4.32873950517963e-08,39.9999981042198,1.08754752866286,80600000087.2241,1.57877957886191e-08
