time,Bpb_perml,totTpb_perml,Tafraction_pb
0.0,1.347e6,1.836e6,0.0
0.0035,1.3397376821741061e6,626435.0083609184,0.015280209937753489
0.083,891778.0260193573,255621.31891957368,0.12995946838000397
0.1,727751.6615548129,260964.00543877349,0.1470457342590213
0.2,14008.56088624707,292441.5710173774,0.21615922903898224
0.25,13002.263614625042,307326.30924264435,0.24530828082105663
0.3,12216.171309749545,322182.74700025324,0.2693409633668739
0.4,10779.226464132771,352104.1682694574,0.305146927778066
0.5,9387.386255501555,382647.7663130185,0.3279830510757072
0.6,7994.741063568857,414148.1128781584,0.34065330289148466
0.7,6600.628322659557,446872.48548662825,0.34505834732745655
0.8,5222.195155104542,481040.2075195176,0.34254609885497084
0.9,3887.7964694294305,516842.9407275101,0.33414657306936735
1.0,2637.8893696034625,554465.2709672574,0.3207611347275547
1.1,1539.497408582326,594124.3427311556,0.3034756962178516
1.2,729.8566839472415,636037.456314733,0.28342016602729403
1.3,372.48613580852793,680430.4829195241,0.26180995459346035
1.4,304.9107826112245,727522.1935848409,0.24005252601938548
1.5,297.58878571825375,777437.0835817897,0.21930417042755124
1.6,297.42276087977996,830161.8803677331,0.20033780302795212
1.7,298.0405086944352,885563.9607168427,0.18344745063274
1.8,298.7543820002681,943496.7341373926,0.16844588132840727
1.9,299.4903273464958,1.0038430699421272e6,0.15505192211265453
2.0,300.2407767886448,1.0664960584416762e6,0.14303626140056142
2.1,300.93287301602044,1.1313477570971828e6,0.13221780398913038
2.2,301.60394628891515,1.1982904383166088e6,0.12244858485782842
2.3,302.276674143029,1.2672030649892504e6,0.11360752897261002
2.4,302.95458437004754,1.3379484743803632e6,0.10559204603027855
2.5,303.6383100366756,1.41038167802611e6,0.09831312851047633
2.6,304.32812477955986,1.4843356280303472e6,0.09169412290317064
2.7,305.0243361013426,1.5596365825598596e6,0.0856671376367421
2.8,305.72728744249054,1.6361262612867989e6,0.08017103544874361
2.9,306.43734070305527,1.7136363582850855e6,0.07515200593724448
3.0,307.1548597739472,1.7919868583100694e6,0.07056261587288529
3.1,307.8802509659523,1.8709642737566778e6,0.06636171646650404
3.2,308.61394012159303,1.9503173923231554e6,0.06251343119567856
3.3,309.35635905908345,2.0297944616905563e6,0.05898517364347396
3.4,310.1079559134954,2.10917401889944e6,0.05574663211549116
3.5,310.8692017966448,2.188284606425069e6,0.05276943048543227
3.6,311.6405946946006,2.2669888061364098e6,0.05002767746968895
3.7,312.4226553993588,2.3451158868618896e6,0.047499236716628805
3.8,313.2159259543922,2.422412642672777e6,0.04516595519858912
3.9,314.0209735564738,2.498584625683633e6,0.04301206681439175
4.0,314.8377043400497,2.5733824660543716e6,0.04102241561842365
4.1,315.59153667650986,2.646986039841005e6,0.0391769803017949
4.2,316.3155705727132,2.7190876479906724e6,0.0374655399948976
4.3,317.0422956449278,2.7895543259054744e6,0.03587634074934226
4.4,317.77625405061667,2.8582691995080495e6,0.034398729081939944
4.5,318.5175391707631,2.925128325869333e6,0.03302308446285194
4.6,319.266799548252,2.9900393509835256e6,0.03174072512286793
4.7,320.02465152226125,3.0529246052126233e6,0.03054377502406911
4.8,320.79156741024747,3.113719542429961e6,0.0294250982047604
4.9,321.5679882958313,3.172372588830597e6,0.028378218049174394
5.0,322.35431012316957,3.2288486767545603e6,0.02739722011730514
5.1,323.151021466758,3.283124359198875e6,0.02647673847829969
5.2,323.95859107947587,3.3351832267865306e6,0.02561192593344414
5.3,324.7775850967486,3.385014606917317e6,0.024798406052263668
5.4,325.6085160761821,3.4326218566669677e6,0.024032156499643145
5.5,326.4519684110395,3.4780156358765485e6,0.023309522823237564
5.6,327.3085408852611,3.5212151178704114e6,0.022627166797179823
5.7,328.17880346013055,3.562247109504171e6,0.021982034833767188
5.8,329.0634157741234,3.6011484452317376e6,0.02137131969731211
5.9,329.9630531165057,3.637949295075555e6,0.02079252194397846
6.0,330.87841741207967,3.6726892852069996e6,0.020243327249519463
6.1,331.81023883641046,3.7054181091922256e6,0.019721585063191154
6.2,332.7593016020579,3.736179322813659e6,0.019225370685785004
6.3,333.7264008426038,3.7650293440309577e6,0.018752870957713573
6.4,334.7123943483761,3.7920228194155446e6,0.018302440831739254
6.5,335.71819262476083,3.8172156649264717e6,0.017872571378274877
6.6,336.7447176235525,3.8406716662661815e6,0.017461846270195546
6.7,337.7930055871371,3.8624383827867135e6,0.017069036871730246
6.8,338.8640917710859,3.882577879585916e6,0.016692951928629664
6.9,339.9590790770339,3.9011464641285026e6,0.01633251869467005
7.0,341.07954902147463,3.9181702576380167e6,0.015986869341261842
7.1,342.3096363590319,3.9337424305757876e6,0.015654928769991333
7.2,343.62880202695726,3.9479187752766553e6,0.01533584977385386
7.3,345.00000683546494,3.960747645759158e6,0.015028877821212283
7.4,346.41636056033104,3.972282200118837e6,0.014733292634623772
7.5,347.87700410551685,3.9825764492334123e6,0.014448419913536932
7.6,349.3840195629422,3.9916813012611684e6,0.014173641800987817
7.7,350.9398594893684,3.999645957281907e6,0.013908386427269622
7.8,352.54726000302884,4.006518459371227e6,0.013652121927433146
7.9,354.20923506215155,4.012345113548737e6,0.013404355767901858
8.0,355.92881841927766,4.0171711802574545e6,0.013164628407462672
8.1,357.7092903912057,4.021042428539029e6,0.012932506209759517
8.2,359.55403770983423,4.024003686938982e6,0.01270758288333063
8.3,361.4670925386822,4.026093093013592e6,0.012489497117879998
8.4,363.4525673498292,4.0273499613029156e6,0.012277903226879808
8.5,365.51509518017104,4.027811440929374e6,0.012072481090670146
8.6,367.6595221444308,4.0275133971576197e6,0.011872931165132727
8.7,369.89102204631445,4.026491043468483e6,0.011678971229648337
8.8,372.21516965156235,4.024777488269265e6,0.01149033924441884
8.9,374.63788659112805,4.0224047176679512e6,0.011306789326403752
9.0,377.1657512804454,4.0194031998507865e6,0.011128091533241746
9.1,379.80572862747283,4.015802190392111e6,0.01095403018590133
9.2,382.56556874660646,4.0116298826396083e6,0.01078440236994761
9.3,385.453570010029,4.006913221276692e6,0.010619017662727187
9.4,388.4786911669582,4.0016780178318247e6,0.010457697077542646
9.5,391.6503752668822,3.995948698767565e6,0.010300273180944779
9.6,394.97973774585324,3.9897490584368696e6,0.010146586796111282
9.7,398.4776888383569,3.9831012191778393e6,0.0099964902091759
9.8,402.1564411146537,3.976026565240225e6,0.00984984336829593
9.9,406.02966233245087,3.9685459619070175e6,0.009706512822573907
10.0,410.11104527299136,3.9606785058812327e6,0.009566375268131028
10.1,414.4170730448366,3.9524433281424907e6,0.009429311576839489
10.2,418.9648910543079,3.9438584111489304e6,0.009295210080256792
10.3,423.77246462662373,3.934940626072707e6,0.009163966100022226
10.4,428.86194935026003,3.9257069359810865e6,0.00903547815842377
10.5,434.2545713562421,3.916172760463619e6,0.008909652481239054
10.6,439.9746158964844,3.906353187723252e6,0.00878639920847483
10.7,446.0490085623462,3.8962628391442653e6,0.008665632590134533
10.8,452.5051083535884,3.885915235413312e6,0.008547272630785816
