sim_key,case_no,id,max_abs_err,max_rel_err
case10_id2001,10,2001,2164.3660100200213,0.01573518636824227
case20_id1001,20,1001,1990.0140975909308,0.002988158964575777
case30_id1,30,1,64.45409177814145,0.0025421582742292956
