time,Bpb_perml,totTpb_perml,Tafraction_pb,BTtotRatio_tiss,BTtotRatio_tiss2,IL6combo
0.0,606335.75,1.0705290999999999e6,0.0,1.0194999369937727,0.679666624662515,0.0
0.0035,603826.2921499638,365376.4221527705,0.009232204647164548,0.9859485504267479,0.673224477266555,5.024934071162475
0.0208,590143.901056466,135546.61037593428,0.02111721653376377,0.9752944901129772,0.6707654078413856,22.129130277181883
0.08333,505616.5940799634,142690.19195036023,0.047154857787436874,0.9723231134922603,0.667727403700072,61.0012324568756
0.1,473783.065996484,144600.99043120354,0.05277619714088321,0.9709370407900435,0.6665336757027935,67.0077785371146
0.2,224832.83878896374,156135.9918011534,0.0799315137662149,0.9580188365501883,0.6562844720106454,69.23014062095403
0.3,8490.524509206372,168194.21834789705,0.09320526854160317,0.9382588639501538,0.6412517897838631,25.524702826921235
0.4,6473.539931874471,180154.73741788726,0.10628091096792369,0.9131674885394155,0.6222996617933719,22.949485663984706
0.5,5862.904232024293,192586.25782232767,0.11542339517760827,0.8838399700432875,0.6001464598942865,24.678139330660855
0.6,5362.28441657445,205571.9051216849,0.12139372209557808,0.851174658304005,0.5754374221339478,25.481661076722414
0.7,4921.078360120385,219176.58342127327,0.12482051129392054,0.8159862086613702,0.548777164997171,25.50638739418363
0.8,4516.918515525647,233457.4521748451,0.1262018047528472,0.7790041329860695,0.5207196940944627,24.920900806537954
0.9,4139.0904767683405,248465.22820292806,0.12594159166084634,0.7408710593779352,0.491762694151867,23.874906830607372
1.0,3782.2659821406337,264244.7247405586,0.12437390180077376,0.702144713001785,0.4623455332916599,22.50005077917472
1.1,3438.2619444003126,280845.91349561204,0.1219513663755245,0.6631735909541461,0.43269023091923736,21.63273760069932
1.2,3107.629812380211,298304.2725552253,0.11900377828594891,0.6241416775520701,0.4029000264612169,20.750945292389694
1.3,2789.968421193275,316641.8000279694,0.11561483520590025,0.5852817100696909,0.3731761065869297,19.70307994339541
1.4,2484.8941074209424,335877.50079614396,0.11186679860998622,0.5468019908623634,0.34369724922835443,18.517321684748524
